,Year,Month,Day,Actual (KWH),Predicted (KWH),Diff
0,2018,4,14,1579.0000000000002,1574.4095,0.0004590395927429325
1,2018,4,15,3397.0,3486.9521,0.008995218563079832
2,2018,4,16,3397.0,3391.3196,0.0005680486679077168
3,2018,4,17,3397.0,3377.2666,0.0019733473777771016
4,2018,4,18,3397.0,3440.0706,0.00430704503059387
5,2018,4,19,3397.0,3439.1326,0.004213257122039793
6,2018,4,20,1544.0,1540.4025,0.0003597527980804538
7,2018,4,21,1544.0,1542.1969,0.00018031301498414032
8,2018,4,22,3397.0,3414.2053,0.0017205312728881816
9,2018,4,23,3397.0,3340.6926,0.005630747985839846
10,2018,4,24,3397.0,3336.854,0.006014601898193361
11,2018,4,25,3397.0,3402.088,0.0005087986469268779
12,2018,4,26,3397.0,3414.5767,0.00175766496658325
13,2018,4,27,1544.0,1527.9188,0.001608112478256235
14,2018,4,28,1544.0,1539.7166,0.00042834284305573456
15,2018,4,28,3397.0,3503.9626,0.010696275520324705
16,2018,4,30,3397.0,3387.2139,0.0009786054611206074
17,2018,5,1,3397.0,3367.3835,0.0029616519927978535
18,2018,5,2,3397.0,3426.6316,0.0029631689071655254
19,2018,5,3,3397.0,3418.984,0.0021983817100524883
20,2018,5,4,1544.0,1538.2019,0.000579813146591196
21,2018,5,5,1544.0,1567.3866,0.0023386537790298367
22,2018,5,6,3358.9999999999995,3485.267,0.012626716232299828
23,2018,5,7,3358.9999999999995,3368.2925,0.0009292450904846428
24,2018,5,8,3358.9999999999995,3346.5034,0.001249662303924537
25,2018,5,9,3358.9999999999995,3396.4092,0.0037409153938293693
26,2018,5,10,3358.9999999999995,3384.0276,0.00250274810791018
27,2018,5,11,1526.0000000000002,1514.6565,0.001134345626831068
28,2018,5,12,1526.0000000000002,1524.4022,0.00015977988243104368
29,2018,5,13,3358.9999999999995,3370.5908,0.001159080600738549
