,Year,Month,Day,Actual (KWH),Predicted (KWH),Diff
0,2018,4,14,28712167.09,28550612.926483154,0.0016155416351684715
1,2018,4,15,28710947.95,28453502.05898285,0.0025744589101714954
2,2018,4,16,28710947.95,28462579.84638214,0.0024836810361785755
3,2018,4,17,28710947.95,28597807.88421631,0.0011314006578369007
4,2018,4,18,28710947.95,28620302.67715454,0.0009064527284545765
5,2018,4,19,28710947.95,28612494.468688965,0.0009845348131103382
6,2018,4,20,28712167.09,28594776.98802948,0.0011739010197052147
7,2018,4,21,28712167.09,28608274.459838867,0.0010389263016113426
8,2018,4,22,28072926.88,28482538.46168518,0.00409611581685182
9,2018,4,23,28072926.88,28214895.725250244,0.0014196884525024545
10,2018,4,24,28072926.88,28240329.027175903,0.0016740214717590463
11,2018,4,25,28072926.88,28196001.052856445,0.0012307417285644662
12,2018,4,26,28072926.88,28245735.16845703,0.0017280828845703256
13,2018,4,27,28074118.940000005,28273057.93762207,0.001989389976220668
14,2018,4,28,28074118.940000005,28246933.221817017,0.0017281428181701308
15,2018,4,28,28072926.88,28061223.030090332,0.00011703849909666664
16,2018,4,30,28072926.88,28048384.189605713,0.00024542690394285804
17,2018,5,1,28072926.88,28277370.33367157,0.0020444345367157113
18,2018,5,2,28072926.88,28254392.743110657,0.0018146586311065804
19,2018,5,3,28072926.88,28134620.189666748,0.0006169330966674935
20,2018,5,4,28074118.940000005,28007307.648658752,0.0006681129134125108
21,2018,5,5,28074118.940000005,27935373.783111572,0.0013874515688843125
22,2018,5,6,27753916.35,27774715.423583984,0.00020799073583982475
23,2018,5,7,27753916.35,27581274.50942993,0.0017264184057007026
24,2018,5,8,27753916.35,27714359.760284424,0.0003955658971557807
25,2018,5,9,27753916.35,27753251.791000366,6.645589996356893e-06
26,2018,5,10,27753916.35,27779436.111450195,0.0002551976145019341
27,2018,5,11,27755094.85,27767318.48716736,0.0001222363716735786
28,2018,5,12,27755094.85,27780419.58808899,0.0002532473808898872
29,2018,5,13,27753916.35,27742344.14100647,0.00011572208993532174
