Y,M,D,Temp,NofD,WD,EC
2010,1,1,12.6,62278,0,30383245.60
2010,1,2,13.9,62278,0,30383245.60
2010,1,3,15.4,62278,1,30381955.50
2010,1,4,14.7,62278,1,30381955.50
2010,1,5,14,62278,1,30381955.50
2010,1,6,14.4,62278,1,30381955.50
2010,1,7,14.9,62278,1,30381955.50
2010,1,8,14.5,62278,0,30383245.60
2010,1,9,14.4,62278,0,30383245.60
2010,1,10,13.6,62278,1,30381955.50
2010,1,11,16.2,62278,1,30381955.50
2010,1,12,16.8,62278,1,30381955.50
2010,1,13,17.8,62278,1,30381955.50
2010,1,14,17.6,62278,1,30381955.50
2010,1,15,15.8,62278,0,30383245.60
2010,1,16,17.3,62278,0,30383245.60
2010,1,17,20.1,62278,1,30381955.50
2010,1,18,14.4,62278,1,30381955.50
2010,1,19,12.7,62278,1,30381955.50
2010,1,20,12,62278,1,30381955.50
2010,1,21,12.3,62278,1,30381955.50
2010,1,22,12.9,62278,0,30383245.60
2010,1,23,12.9,62278,0,30383245.60
2010,1,24,14.3,62278,1,30381955.50
2010,1,25,11.1,62278,1,30381955.50
2010,1,26,9.2,62278,1,30381955.50
2010,1,27,11.2,62278,1,30381955.50
2010,1,28,15,62278,1,30381955.50
2010,1,29,15.9,62278,0,30383245.60
2010,1,30,18.4,62278,0,30383245.60
2010,1,31,22.5,62278,1,30381955.50
2010,2,1,17.8,62278,1,30381955.50
2010,2,2,17.3,62278,1,30381955.50
2010,2,3,13.9,62278,1,30381955.50
2010,2,4,9.2,62278,1,30381955.50
2010,2,5,8.4,62278,0,30383245.60
2010,2,6,7.6,62278,0,30383245.60
2010,2,7,9.6,62278,1,28559038.17
2010,2,8,12.9,62278,1,28559038.17
2010,2,9,14.8,62278,1,28559038.17
2010,2,10,14.9,62278,1,28559038.17
2010,2,11,17.4,62278,1,28559038.17
2010,2,12,17.1,62278,0,28560250.86
2010,2,13,19.2,62278,0,28560250.86
2010,2,14,21.3,62278,1,28559038.17
2010,2,15,22.9,62278,1,28559038.17
2010,2,16,23.3,62278,1,28559038.17
2010,2,17,23.4,62278,1,28559038.17
2010,2,18,23.9,62278,1,28559038.17
2010,2,19,22.6,62278,0,28560250.86
2010,2,20,19.7,62278,0,28560250.86
2010,2,21,22.2,62278,1,28559038.17
2010,2,22,21.5,62278,1,28559038.17
2010,2,23,18.7,62278,1,28559038.17
2010,2,24,16.9,62278,1,28559038.17
2010,2,25,17.1,62278,1,28559038.17
2010,2,26,14.9,62278,0,28560250.86
2010,2,27,15.1,62278,0,28560250.86
2010,2,28,16.8,62278,1,28559038.17
2010,3,1,14.6,62278,1,28559038.17
2010,3,2,15.8,62278,1,28559038.17
2010,3,3,19.5,62278,1,28559038.17
2010,3,4,16.4,62278,1,28559038.17
2010,3,5,21,62278,0,28560250.86
2010,3,6,23.1,62278,0,28560250.86
2010,3,7,22.5,62278,1,27951399.06
2010,3,8,24.1,62278,1,27951399.06
2010,3,9,25.6,62278,1,27951399.06
2010,3,10,24.8,62278,1,27951399.06
2010,3,11,25.9,62278,1,27951399.06
2010,3,12,25.7,62278,0,27952585.95
2010,3,13,25.4,62278,0,27952585.95
2010,3,14,25.9,62278,1,27951399.06
2010,3,15,27.2,62278,1,27951399.06
2010,3,16,25.8,62278,1,27951399.06
2010,3,17,20.3,62278,1,27951399.06
2010,3,18,14.4,62278,1,27951399.06
2010,3,19,14.4,62278,0,27952585.95
2010,3,20,16.3,62278,0,27952585.95
2010,3,21,17.4,62278,1,27951399.06
2010,3,22,19.4,62278,1,27951399.06
2010,3,23,20.2,62278,1,27951399.06
2010,3,24,19.2,62278,1,27951399.06
2010,3,25,20.2,62278,1,27951399.06
2010,3,26,16.8,62278,0,27952585.95
2010,3,27,14.8,62278,0,27952585.95
2010,3,28,18,62278,1,27951399.06
2010,3,29,21.3,62278,1,27951399.06
2010,3,30,21,62278,1,27951399.06
2010,3,31,18.9,62278,1,27951399.06
2010,4,1,21.7,62278,1,27951399.06
2010,4,2,23.4,62278,0,27952585.95
2010,4,3,26.2,62278,0,27952585.95
2010,4,4,25.8,62278,1,27343759.95
2010,4,5,24.9,62278,1,27343759.95
2010,4,6,25,62278,1,27343759.95
2010,4,7,23.1,62278,1,27343759.95
2010,4,8,21.3,62278,1,27343759.95
2010,4,9,20.4,62278,0,27344921.04
2010,4,10,23.7,62278,0,27344921.04
2010,4,11,27.1,62278,1,27343759.95
2010,4,12,23.8,62278,1,27343759.95
2010,4,13,20.3,62278,1,27343759.95
2010,4,14,22.8,62278,1,27343759.95
2010,4,15,24.4,62278,1,27343759.95
2010,4,16,25.8,62278,0,27344921.04
2010,4,17,24.5,62278,0,27344921.04
2010,4,18,24.1,62278,1,26736120.84
2010,4,19,25.3,62278,1,26736120.84
2010,4,20,26.9,62278,1,26736120.84
2010,4,21,27.6,62278,1,26736120.84
2010,4,22,21.4,62278,1,26736120.84
2010,4,23,19.2,62278,0,26737256.13
2010,4,24,21.8,62278,0,26737256.13
2010,4,25,25.4,62278,1,26736120.84
2010,4,26,27.2,62278,1,26736120.84
2010,4,27,27.1,62278,1,26736120.84
2010,4,28,27.8,62278,1,26736120.84
2010,4,29,25.4,62278,1,26736120.84
2010,4,30,23.9,62278,0,26737256.13
2010,5,1,20.2,62278,0,26737256.13
2010,5,2,19.4,62278,1,26432301.29
2010,5,3,21,62278,1,26432301.29
2010,5,4,23.1,62278,1,26432301.29
2010,5,5,24.7,62278,1,26432301.29
2010,5,6,26.1,62278,1,26432301.29
2010,5,7,27.2,62278,0,26433423.67
2010,5,8,30,62278,0,26433423.67
2010,5,9,30.3,62278,1,26432301.29
2010,5,10,31.8,62278,1,26432301.29
2010,5,11,28.4,62278,1,26432301.29
2010,5,12,27.8,62278,1,26432301.29
2010,5,13,27.9,62278,1,26432301.29
2010,5,14,28.4,62278,0,26433423.67
2010,5,15,29.6,62278,0,26433423.67
2010,5,16,30.7,62278,1,26432301.29
2010,5,17,32.9,62278,1,26432301.29
2010,5,18,34.2,62278,1,26432301.29
2010,5,19,28.6,62278,1,26432301.29
2010,5,20,26,62278,1,26432301.29
2010,5,21,25.9,62278,0,26433423.67
2010,5,22,29.4,62278,0,26433423.67
2010,5,23,26.6,62278,1,25824662.18
2010,5,24,24.7,62278,1,25824662.18
2010,5,25,26.3,62278,1,25824662.18
2010,5,26,29.6,62278,1,25824662.18
2010,5,27,32.2,62278,1,25824662.18
2010,5,28,29.4,62278,0,25825758.76
2010,5,29,26.5,62278,0,25825758.76
2010,5,30,28.3,62278,1,25824662.18
2010,5,31,30.7,62278,1,25824662.18
2010,6,1,32.2,62278,1,25824662.18
2010,6,2,32.6,62278,1,25824662.18
2010,6,3,32.1,62278,1,25824662.18
2010,6,4,32,62278,0,25825758.76
2010,6,5,31.2,62278,0,25825758.76
2010,6,6,30.2,62278,1,24305564.40
2010,6,7,30.8,62278,1,24305564.40
2010,6,8,33.4,62278,1,24305564.40
2010,6,9,29.7,62278,1,24305564.40
2010,6,10,27.4,62278,1,24305564.40
2010,6,11,29.8,62278,0,24306596.48
2010,6,12,31,62278,0,24306596.48
2010,6,13,30.7,62278,1,24305564.40
2010,6,14,30.8,62278,1,24305564.40
2010,6,15,31.2,62278,1,24305564.40
2010,6,16,30.9,62278,1,24305564.40
2010,6,17,31.4,62278,1,24305564.40
2010,6,18,31.7,62278,0,24306596.48
2010,6,19,32.4,62278,0,24306596.48
2010,6,20,31.2,62278,1,24305564.40
2010,6,21,33.6,62278,1,24305564.40
2010,6,22,33.6,62278,1,24305564.40
2010,6,23,30.9,62278,1,24305564.40
2010,6,24,33.5,62278,1,24305564.40
2010,6,25,29.3,62278,0,24306596.48
2010,6,26,27,62278,0,24306596.48
2010,6,27,28.3,62278,1,24305564.40
2010,6,28,30.2,62278,1,24305564.40
2010,6,29,32.2,62278,1,24305564.40
2010,6,30,33.3,62278,1,24305564.40
2010,7,1,30.9,62278,1,24305564.40
2010,7,2,30.8,62278,0,24306596.48
2010,7,3,32.8,62278,0,24306596.48
2010,7,4,33.4,62278,1,24305564.40
2010,7,5,33.2,62278,1,24305564.40
2010,7,6,33.3,62278,1,24305564.40
2010,7,7,34.3,62278,1,24305564.40
2010,7,8,34.5,62278,1,24305564.40
2010,7,9,34.3,62278,0,24306596.48
2010,7,10,35.3,62278,0,24306596.48
2010,7,11,37.2,62278,1,24305564.40
2010,7,12,36.4,62278,1,24305564.40
2010,7,13,38.5,62278,1,24305564.40
2010,7,14,37.1,62278,1,24305564.40
2010,7,15,35,62278,1,24305564.40
2010,7,16,35.4,62278,0,24306596.48
2010,7,17,35.2,62278,0,24306596.48
2010,7,18,33.4,62278,1,24305564.40
2010,7,19,32.9,62278,1,24305564.40
2010,7,20,31.8,62278,1,24305564.40
2010,7,21,29.8,62278,1,24305564.40
2010,7,22,31.8,62278,1,24305564.40
2010,7,23,32.3,62278,0,24306596.48
2010,7,24,31.6,62278,0,24306596.48
2010,7,25,31.2,62278,1,24305564.40
2010,7,26,32.2,62278,1,24305564.40
2010,7,27,31.7,62278,1,24305564.40
2010,7,28,30.8,62278,1,24305564.40
2010,7,29,31.4,62278,1,24305564.40
2010,7,30,33.4,62278,0,24306596.48
2010,7,31,35,62278,0,24306596.48
2010,8,1,36.5,62278,1,24305564.40
2010,8,2,36.4,62278,1,24305564.40
2010,8,3,35.4,62278,1,24305564.40
2010,8,4,34.4,62278,1,24305564.40
2010,8,5,33.3,62278,1,24305564.40
2010,8,6,33.6,62278,0,24306596.48
2010,8,7,35.7,62278,0,24306596.48
2010,8,8,36,62278,1,24305564.40
2010,8,9,35.5,62278,1,24305564.40
2010,8,10,34.4,62278,1,24305564.40
2010,8,11,34,62278,1,24305564.40
2010,8,12,34.6,62278,1,24305564.40
