Y,M,D,Temp,ND,WD,EC
2021,1,1,12.6,458,0,0
2021,1,2,13.9,458,0,0
2021,1,3,15.4,458,1,0
2021,1,4,14.7,458,1,0
2021,1,5,14,458,1,0
2021,1,6,14.4,458,1,0
2021,1,7,14.9,458,1,0
2021,1,8,14.5,458,0,0
2021,1,9,14.4,458,0,0
2021,1,10,13.6,458,1,0
2021,1,11,16.2,458,1,0
2021,1,12,16.8,458,1,0
2021,1,13,17.8,458,1,0
2021,1,14,17.6,458,1,0
2021,1,15,15.8,458,0,0
2021,1,16,17.3,458,0,0
2021,1,17,20.1,458,1,0
2021,1,18,14.4,458,1,0
2021,1,19,12.7,458,1,0
2021,1,20,12,458,1,0
2021,1,21,12.3,458,1,0
2021,1,22,12.9,458,0,0
2021,1,23,12.9,458,0,0
2021,1,24,14.3,458,1,0
2021,1,25,11.1,458,1,0
2021,1,26,9.2,458,1,0
2021,1,27,11.2,458,1,0
2021,1,28,15,458,1,0
2021,1,29,15.9,458,0,0
2021,1,30,18.4,458,0,0
2021,1,31,22.5,458,1,0
2021,2,1,17.8,458,1,0
2021,2,2,17.3,458,1,0
2021,2,3,13.9,458,1,0
2021,2,4,9.2,458,1,0
2021,2,5,8.4,458,0,0
2021,2,6,7.6,458,0,0
2021,2,7,9.6,458,1,0
2021,2,8,12.9,458,1,0
2021,2,9,14.8,458,1,0
2021,2,10,14.9,458,1,0
2021,2,11,17.4,458,1,0
2021,2,12,17.1,458,0,0
2021,2,13,19.2,458,0,0
2021,2,14,21.3,458,1,0
2021,2,15,22.9,458,1,0
2021,2,16,23.3,458,1,0
2021,2,17,23.4,458,1,0
2021,2,18,23.9,458,1,0
2021,2,19,22.6,458,0,0
2021,2,20,19.7,458,0,0
2021,2,21,22.2,458,1,0
2021,2,22,21.5,458,1,0
2021,2,23,18.7,458,1,0
2021,2,24,16.9,458,1,0
2021,2,25,17.1,458,1,0
2021,2,26,14.9,458,0,0
2021,2,27,15.1,458,0,0
2021,2,28,16.8,458,1,0
2021,3,1,14.6,458,1,0
2021,3,2,15.8,458,1,0
2021,3,3,19.5,458,1,0
2021,3,4,16.4,458,1,0
2021,3,5,21,458,0,0
2021,3,6,23.1,458,0,0
2021,3,7,22.5,458,1,0
2021,3,8,24.1,458,1,0
2021,3,9,25.6,458,1,0
2021,3,10,24.8,458,1,0
2021,3,11,25.9,458,1,0
2021,3,12,25.7,458,0,0
2021,3,13,25.4,458,0,0
2021,3,14,25.9,458,1,0
2021,3,15,27.2,458,1,0
2021,3,16,25.8,458,1,0
2021,3,17,20.3,458,1,0
2021,3,18,14.4,458,1,0
2021,3,19,14.4,458,0,0
2021,3,20,16.3,458,0,0
2021,3,21,17.4,458,1,0
2021,3,22,19.4,458,1,0
2021,3,23,20.2,458,1,0
2021,3,24,19.2,458,1,0
2021,3,25,20.2,458,1,0
2021,3,26,16.8,458,0,0
2021,3,27,14.8,458,0,0
2021,3,28,18,458,1,0
2021,3,29,21.3,458,1,0
2021,3,30,21,458,1,0
2021,3,31,18.9,458,1,0
2021,4,1,21.7,458,1,0
2021,4,2,23.4,458,0,0
2021,4,3,26.2,458,0,0
2021,4,4,25.8,458,1,0
2021,4,5,24.9,458,1,0
2021,4,6,25,458,1,0
2021,4,7,23.1,458,1,0
2021,4,8,21.3,458,1,0
2021,4,9,20.4,458,0,0
2021,4,10,23.7,458,0,0
2021,4,11,27.1,458,1,0
2021,4,12,23.8,458,1,0
2021,4,13,20.3,458,1,0
2021,4,14,22.8,458,1,0
2021,4,15,24.4,458,1,0
2021,4,16,25.8,458,0,0
2021,4,17,24.5,458,0,0
2021,4,18,24.1,458,1,0
2021,4,19,25.3,458,1,0
2021,4,20,26.9,458,1,0
2021,4,21,27.6,458,1,0
2021,4,22,21.4,458,1,0
2021,4,23,19.2,458,0,0
2021,4,24,21.8,458,0,0
2021,4,25,25.4,458,1,0
2021,4,26,27.2,458,1,0
2021,4,27,27.1,458,1,0
2021,4,28,27.8,458,1,0
2021,4,29,25.4,458,1,0
2021,4,30,23.9,458,0,0
2021,5,1,20.2,458,0,0
2021,5,2,19.4,458,1,0
2021,5,3,21,458,1,0
2021,5,4,23.1,458,1,0
2021,5,5,24.7,458,1,0
2021,5,6,26.1,458,1,0
2021,5,7,27.2,458,0,0
2021,5,8,30,458,0,0
2021,5,9,30.3,458,1,0
2021,5,10,31.8,458,1,0
2021,5,11,28.4,458,1,0
2021,5,12,27.8,458,1,0
2021,5,13,27.9,458,1,0
2021,5,14,28.4,458,0,0
2021,5,15,29.6,458,0,0
2021,5,16,30.7,458,1,0
2021,5,17,32.9,458,1,0
2021,5,18,34.2,458,1,0
2021,5,19,28.6,458,1,0
2021,5,20,26,458,1,0
2021,5,21,25.9,458,0,0
2021,5,22,29.4,458,0,0
2021,5,23,26.6,458,1,0
2021,5,24,24.7,458,1,0
2021,5,25,26.3,458,1,0
2021,5,26,29.6,458,1,0
2021,5,27,32.2,458,1,0
2021,5,28,29.4,458,0,0
2021,5,29,26.5,458,0,0
2021,5,30,28.3,458,1,0
2021,5,31,30.7,458,1,0
2021,6,1,32.2,458,1,0
2021,6,2,32.6,458,1,0
2021,6,3,32.1,458,1,0
2021,6,4,32,458,0,0
2021,6,5,31.2,458,0,0
2021,6,6,30.2,458,1,0
2021,6,7,30.8,458,1,0
2021,6,8,33.4,458,1,0
2021,6,9,29.7,458,1,0
2021,6,10,27.4,458,1,0
2021,6,11,29.8,458,0,0
2021,6,12,31,458,0,0
2021,6,13,30.7,458,1,0
2021,6,14,30.8,458,1,0
2021,6,15,31.2,458,1,0
2021,6,16,30.9,458,1,0
2021,6,17,31.4,458,1,0
2021,6,18,31.7,458,0,0
2021,6,19,32.4,458,0,0
2021,6,20,31.2,458,1,0
2021,6,21,33.6,458,1,0
2021,6,22,33.6,458,1,0
2021,6,23,30.9,458,1,0
2021,6,24,33.5,458,1,0
2021,6,25,29.3,458,0,0
2021,6,26,27,458,0,0
2021,6,27,28.3,458,1,0
2021,6,28,30.2,458,1,0
2021,6,29,32.2,458,1,0
2021,6,30,33.3,458,1,0
2021,7,1,30.9,458,1,0
2021,7,2,30.8,458,0,0
2021,7,3,32.8,458,0,0
2021,7,4,33.4,458,1,0
2021,7,5,33.2,458,1,0
2021,7,6,33.3,458,1,0
2021,7,7,34.3,458,1,0
2021,7,8,34.5,458,1,0
2021,7,9,34.3,458,0,0
2021,7,10,35.3,458,0,0
2021,7,11,37.2,458,1,0
2021,7,12,36.4,458,1,0
2021,7,13,38.5,458,1,0
2021,7,14,37.1,458,1,0
