,Year,Month,Day,Actual (KWH),Predicted (KWH),Diff
0,2018,4,14,811032.8,807522.7737426758,0.003510026257324217
1,2018,4,15,739044.21,806083.7388038635,0.06703952880386355
2,2018,4,16,739044.21,748298.6450195312,0.00925443501953127
3,2018,4,17,739044.21,746307.7306747437,0.007263520674743673
4,2018,4,18,739044.21,741485.4168891907,0.0024412068891906946
5,2018,4,19,739044.21,741208.0764770508,0.002163866477050802
6,2018,4,20,739044.21,737458.5866928101,0.0015856233071899206
7,2018,4,21,739044.21,736510.7536315918,0.0025334563684081823
8,2018,4,22,739009.8420000001,737600.6841659546,0.0014091578340454936
9,2018,4,23,739009.8420000001,736518.3234214783,0.002491518578521812
10,2018,4,24,739009.8420000001,736839.8308753967,0.002170011124603355
11,2018,4,25,739009.8420000001,737893.2237625122,0.0011166182374878764
12,2018,4,26,739009.8420000001,735242.1283721924,0.0037677136278077006
13,2018,4,27,739009.8420000001,736349.1654396057,0.0026606765603943705
14,2018,4,28,739009.8420000001,739794.8503494263,0.0007850083494261861
15,2018,4,28,739009.8420000001,741033.6136817932,0.0020237716817931295
16,2018,4,30,739009.8420000001,737919.0325737,0.0010908094263001322
17,2018,5,1,739009.8420000001,730100.0356674194,0.00890980633258065
18,2018,5,2,739009.8420000001,739125.4901885986,0.00011564818859854942
19,2018,5,3,739009.8420000001,741687.7746582031,0.0026779326582030416
20,2018,5,4,784241.042,753479.1231155396,0.03076191888446045
21,2018,5,5,784241.042,796244.0252304077,0.012002983230407716
22,2018,5,6,783998.368,795255.8398246765,0.011257471824676513
23,2018,5,7,783998.368,787108.1829071045,0.003109814907104491
24,2018,5,8,783998.368,782106.5783500671,0.0018917896499328624
25,2018,5,9,783998.368,785232.9611778259,0.0012345931778259267
26,2018,5,10,783998.368,787242.05493927,0.0032436869392700185
27,2018,5,11,783998.368,785275.6977081299,0.0012773297081298818
28,2018,5,12,783998.368,782808.5422515869,0.001189825748413087
29,2018,5,13,783998.368,781079.888343811,0.002918479656188966
